num_experience,reward
1,-10.400000000000004
2,-1.7999999999999972
3,-15.999999999999998
4,-20.6
5,-24.000000000000007
6,-23.599999999999998
7,-30.1
8,-9.500000000000016
9,-18.1
10,-3.899999999999997
11,-25.000000000000007
12,-23.00000000000001
13,-25.499999999999993
14,-5.800000000000002
15,5.5
16,3.700000000000003
17,-21.299999999999997
18,-23.000000000000007
19,-23.000000000000007
20,-23.000000000000007
21,-5.699999999999996
22,-24.000000000000007
23,-23.000000000000007
24,6.199999999999999
25,-24.000000000000007
26,6.3
27,6.4
28,-23.000000000000007
29,-13.7
30,-5.499999999999995
